STATEFP,PLACEFP,GEOID,NAME_SHP,NAME_process,ALAND,AWATER,AREA_CAL
32,51800,3251800,North Las Vegas,North Las Vegas city,264.986543,0.112001,265.0984369
31,28000,3128000,Lincoln,Lincoln city,253.012683,3.524104,256.5368263
48,35000,4835000,Houston,Houston city,1658.719231,80.896867,1739.616063
36,51000,3651000,New York,New York city,778.178241,445.408678,1223.589395
48,65000,4865000,San Antonio,San Antonio city,1290.964117,14.988134,1305.952274
48,19000,4819000,Dallas,Dallas city,879.570173,113.594304,993.1646242
37,28000,3728000,Greensboro,Greensboro city,337.369023,13.56543,350.9344518
4,27820,427820,Glendale,Glendale city,167.526708,1.061071,168.5877884
12,53000,1253000,Orlando,Orlando city,287.102775,21.309279,308.4121111
48,27000,4827000,Fort Worth,Fort Worth city,902.772231,21.466244,924.2384336
6,67000,667000,San Francisco,San Francisco city,121.507089,479.14679,600.6559177
27,58000,2758000,St. Paul,St Paul city,134.60837,10.701363,145.3097517
4,27400,427400,Gilbert,Gilbert town,177.640659,0.52531,178.1659946
27,43000,2743000,Minneapolis,Minneapolis city,139.858485,9.083548,148.9420423
39,77000,3977000,Toledo,Toledo city,208.462505,8.657577,217.1200922
12,63000,1263000,St. Petersburg,St Petersburg city,160.239615,190.689072,350.9288277
51,3000,5103000,Arlington,Arlington CDP,67.33299,0.273562,67.60655503
29,38000,2938000,Kansas City,Kansas City city,815.061344,10.601365,825.6624966
48,5000,4805000,Austin,Austin city,828.631437,17.024586,845.6560414
4,55000,455000,Phoenix,Phoenix city,1342.303901,2.63397,1344.93805
6,44000,644000,Los Angeles,Los Angeles city,1215.977362,83.031312,1299.007929
4,46000,446000,Mesa,Mesa city,359.476025,1.617434,361.0934158
4,12000,412000,Chandler,Chandler city,169.58282,0.182489,169.765348
39,18000,3918000,Columbus,Columbus city,570.091822,15.177233,585.2690935
26,22000,2622000,Detroit,Detroit city,359.311023,10.781269,370.0925511
6,75000,675000,Stockton,Stockton city,161.592699,7.956195,169.5488592
6,13392,613392,Chula Vista,Chula Vista city,128.560729,6.360807,134.9214936
48,24000,4824000,El Paso,El Paso city,669.288012,2.118874,671.4068047
34,51000,3451000,Newark,Newark city,62.531386,4.509784,67.04115839
20,79000,2079000,Wichita,Wichita city,419.55551,11.737871,431.2933716
51,67000,5167000,Richmond,Richmond city,155.205067,6.849165,162.0542227
55,53000,5553000,Milwaukee,Milwaukee city,249.116031,1.634047,250.7500724
32,60600,3260600,Reno,Reno city,281.958623,7.338575,289.2972713
51,57000,5157000,Norfolk,Norfolk city,137.981431,111.701531,249.6771467
48,29000,4829000,Garland,Garland city,147.928102,0.313575,148.2416866
4,77000,477000,Tucson,Tucson city,624.223642,0.819368,625.0430758
32,23770,3223770,Enterprise,Enterprise CDP,170.937269,0,170.9381358
48,37000,4837000,Irving,Irving city,173.474996,2.569521,176.0445208
6,69000,669000,Santa Ana,Santa Ana city,70.905149,0.079932,70.98504714
32,31900,3231900,Henderson,Henderson city,275.597663,1.272345,276.8701744
6,43000,643000,Long Beach,Long Beach city,131.35163,70.260174,201.6123022
12,45000,1245000,Miami,Miami city,93.228401,52.000009,145.2286566
18,36003,1836003,Indianapolis city (balance),Indianapolis city (balance),936.640759,16.304624,952.9455366
37,55000,3755000,Raleigh,Raleigh city,381.010726,2.770251,383.7809727
13,4000,1304000,Atlanta,Atlanta city,350.476504,2.565326,353.041771
37,19000,3719000,Durham,Durham city,294.058505,2.135861,296.1943971
6,27000,627000,Fresno,Fresno city,299.407784,3.12748,302.5352898
48,4000,4804000,Arlington,Arlington city,248.226618,9.329197,257.5558717
29,65000,2965000,St. Louis,St Louis city,159.896485,11.563208,171.4597757
42,61000,4261000,Pittsburgh,Pittsburgh city,143.421647,7.699005,151.1206439
21,48006,2148006,Louisville/Jefferson County metro government (balance),Louisville-Jefferson County metro government (balance),681.753404,30.254059,712.0074901
12,71000,1271000,Tampa,Tampa city,295.299062,160.101767,455.4022338
37,75000,3775000,Winston-Salem,Winston-Salem city,344.753016,3.126102,347.8790914
6,66000,666000,San Diego,San Diego city,844.031898,120.532678,964.5647659
6,26000,626000,Fremont,Fremont city,202.274678,26.274304,228.5490422
22,55000,2255000,New Orleans,New Orleans city,439.001414,467.095943,906.0932849
48,17000,4817000,Corpus Christi,Corpus Christi city,420.016429,849.773923,1269.807677
48,41464,4841464,Laredo,Laredo city,276.672979,3.804555,280.4773746
6,53000,653000,Oakland,Oakland city,144.861285,57.244212,202.1057239
47,48000,4748000,Memphis,Memphis city,763.900133,19.766746,783.6668706
55,48000,5548000,Madison,Madison city,206.093071,55.411136,261.5042226
41,59000,4159000,Portland,Portland city,345.654594,29.852342,375.5067416
51,16000,5116000,Chesapeake,Chesapeake city,876.598054,32.349712,908.9471054
8,20000,820000,Denver,Denver city,396.461547,4.275563,400.737116
16,8830,1608830,Boise City,Boise City city,217.714715,2.560977,220.2757394
48,58016,4858016,Plano,Plano city,185.667954,0.925056,186.5929732
12,35000,1235000,Jacksonville,Jacksonville city,1935.492088,329.347337,2264.837577
39,15000,3915000,Cincinnati,Cincinnati city,201.768527,4.486905,206.2554292
39,16000,3916000,Cleveland,Cleveland city,201.334,12.290112,213.6239913
31,37000,3137000,Omaha,Omaha city,369.099188,9.374762,378.47392
42,60000,4260000,Philadelphia,Philadelphia city,347.981635,21.606282,369.5878927
18,25000,1825000,Fort Wayne,Fort Wayne city,286.894391,0.562614,287.45701
51,82000,5182000,Virginia Beach,Virginia Beach city,633.828628,654.687365,1288.508678
8,4000,804000,Aurora,Aurora city,414.301861,1.498809,415.8006672
6,64000,664000,Sacramento,Sacramento city,255.399993,5.413141,260.8130881
6,2000,602000,Anaheim,Anaheim city,130.206498,1.567025,131.7735624
6,68000,668000,San Jose,San Jose city,461.821936,8.089813,469.9115558
21,46027,2146027,Lexington-Fayette,Lexington-Fayette urban county,734.617508,4.920615,739.5380363
4,65000,465000,Scottsdale,Scottsdale city,476.566037,1.136911,477.7028519
37,12000,3712000,Charlotte,Charlotte city,800.727152,5.121615,805.8488191
25,7000,2507000,Boston,Boston city,125.200663,106.898385,232.097424
35,2000,3502000,Albuquerque,Albuquerque city,485.027565,4.358221,489.3887484
24,4000,2404000,Baltimore,Baltimore city,209.649327,28.758743,238.4080442
48,45000,4845000,Lubbock,Lubbock city,348.915739,3.221018,352.1368128
6,3526,603526,Bakersfield,Bakersfield city,388.008665,3.792006,391.800862
32,40000,3240000,Las Vegas,Las Vegas city,367.36154,0.138524,367.5000262
17,14000,1714000,Chicago,Chicago city,589.818403,17.621589,607.4399537
6,62000,662000,Riverside,Riverside city,210.387809,0.803475,211.1912414
8,16000,816000,Colorado Springs,Colorado Springs city,507.215596,0.937374,508.1529632
11,50000,1150000,Washington,Washington city,158.316124,18.709762,177.0259074
40,55000,4055000,Oklahoma City,Oklahoma City city,1570.701656,37.062557,1607.764269
53,63000,5363000,Seattle,Seattle city,217.234359,150.731439,367.9651916
47,52006,4752006,Nashville-Davidson metropolitan government (balance),Nashville-Davidson metropolitan government (balance),1232.275559,56.162658,1288.438146
53,67000,5367000,Spokane,Spokane city,178.086951,1.907185,179.9941599
36,11000,3611000,Buffalo,Buffalo city,104.577537,31.344742,135.9222543
40,75000,4075000,Tulsa,Tulsa city,512.169241,10.592645,522.7620183
6,36770,636770,Irvine,Irvine city,169.930356,0.80201,170.7323773
34,36000,3436000,Jersey City,Jersey City city,38.185617,16.277947,54.46365196
6,65000,665000,San Bernardino,San Bernardino city,160.943574,0.853495,161.7970253
6,69088,669088,Santa Clarita,Santa Clarita city,183.25029,0.160454,183.4107801
