GEO_ID,NAME,S0101_C01_001E,S0101_C01_001M,state,city2,city_x,year,img_num,state_code,city_y
1600000US3651000,"New York city, New York",8467513,*****,New York,New York city,New_York_city,,,36,New York city
1600000US0644000,"Los Angeles city, California",3849306,68,California,Los Angeles city,Los_Angeles_city,2020.0,81623.0,6,Los Angeles city
1600000US1714000,"Chicago city, Illinois",2696561,52,Illinois,Chicago city,Chicago_city,2020.0,51926.0,17,Chicago city
1600000US4835000,"Houston city, Texas",2287047,3111,Texas,Houston city,Houston_city,2020.0,1320.0,48,Houston city
1600000US0455000,"Phoenix city, Arizona",1624539,144,Arizona,Phoenix city,Phoenix_city,,,4,Phoenix city
1600000US4260000,"Philadelphia city, Pennsylvania",1576251,*****,Pennsylvania,Philadelphia city,Philadelphia_city,2020.0,2104.0,42,Philadelphia city
1600000US4865000,"San Antonio city, Texas",1451863,92,Texas,San Antonio city,San_Antonio_city,,,48,San Antonio city
1600000US0666000,"San Diego city, California",1381600,86,California,San Diego city,San_Diego_city,2020.0,51386.0,6,San Diego city
1600000US4819000,"Dallas city, Texas",1288441,78,Texas,Dallas city,Dallas_city,2020.0,1358.0,48,Dallas city
1600000US0668000,"San Jose city, California",983530,135,California,San Jose city,San_Jose_city,2020.0,33779.0,6,San Jose city
1600000US4805000,"Austin city, Texas",964000,705,Texas,Austin city,Austin_city,2020.0,1931.0,48,Austin city
1600000US1235000,"Jacksonville city, Florida",954624,35,Florida,Jacksonville city,Jacksonville_city,2020.0,199.0,12,Jacksonville city
1600000US4827000,"Fort Worth city, Texas",940437,6382,Texas,Fort Worth city,Fort_Worth_city,2020.0,52550.0,48,Fort Worth city
1600000US3918000,"Columbus city, Ohio",907310,4169,Ohio,Columbus city,Columbus_city,2020.0,4429.0,39,Columbus city
1600000US1836003,"Indianapolis city (balance), Indiana",882327,5292,Indiana,Indianapolis city (balance),Indianapolis_city_(balance),,,18,Indianapolis city (balance)
1600000US3712000,"Charlotte city, North Carolina",879697,55,North Carolina,Charlotte city,Charlotte_city,,,37,Charlotte city
1600000US0667000,"San Francisco city, California",815201,*****,California,San Francisco city,San_Francisco_city,,,6,San Francisco city
1600000US5363000,"Seattle city, Washington",733904,100,Washington,Seattle city,Seattle_city,,,53,Seattle city
1600000US0820000,"Denver city, Colorado",711463,*****,Colorado,Denver city,Denver_city,2020.0,29645.0,8,Denver city
1600000US4055000,"Oklahoma City city, Oklahoma",687691,161,Oklahoma,Oklahoma City city,Oklahoma_City_city,,,40,Oklahoma City city
1600000US4752006,"Nashville-Davidson metropolitan government (balance), Tennessee",678845,32,Tennessee,Nashville-Davidson metropolitan government (balance),Nashville-Davidson_metropolitan_government_(balance),,,47,Nashville-Davidson metropolitan government (balance)
1600000US4824000,"El Paso city, Texas",678422,48,Texas,El Paso city,El_Paso_city,,,48,El Paso city
1600000US1150000,"Washington city, District of Columbia",670050,*****,District of Columbia,Washington city,Washington_city,,,11,Washington city
1600000US2507000,"Boston city, Massachusetts",654281,3543,Massachusetts,Boston city,Boston_city,2020.0,380.0,25,Boston city
1600000US3240000,"Las Vegas city, Nevada",646776,82,Nevada,Las Vegas city,Las_Vegas_city,,,32,Las Vegas city
1600000US4159000,"Portland city, Oregon",642218,1919,Oregon,Portland city,Portland_city,2020.0,696.0,41,Portland city
1600000US2622000,"Detroit city, Michigan",632589,101,Michigan,Detroit city,Detroit_city,,,26,Detroit city
1600000US2148006,"Louisville/Jefferson County metro government (balance), Kentucky",628577,85,Kentucky,Louisville,Louisville,,,21,Louisville-Jefferson County metro government (balance)
1600000US4748000,"Memphis city, Tennessee",628118,52,Tennessee,Memphis city,Memphis_city,2020.0,264.0,47,Memphis city
1600000US2404000,"Baltimore city, Maryland",576498,*****,Maryland,Baltimore city,Baltimore_city,2020.0,17312.0,24,Baltimore city
1600000US5553000,"Milwaukee city, Wisconsin",569326,42,Wisconsin,Milwaukee city,Milwaukee_city,2020.0,21036.0,55,Milwaukee city
1600000US3502000,"Albuquerque city, New Mexico",562591,47,New Mexico,Albuquerque city,Albuquerque_city,,,35,Albuquerque city
1600000US0627000,"Fresno city, California",544500,80,California,Fresno city,Fresno_city,2020.0,18013.0,6,Fresno city
1600000US0477000,"Tucson city, Arizona",543215,103,Arizona,Tucson city,Tucson_city,2020.0,38456.0,4,Tucson city
1600000US0664000,"Sacramento city, California",525028,87,California,Sacramento city,Sacramento_city,,,6,Sacramento city
1600000US0446000,"Mesa city, Arizona",509492,71,Arizona,Mesa city,Mesa_city,2020.0,18147.0,4,Mesa city
1600000US2938000,"Kansas City city, Missouri",508415,139,Missouri,Kansas City city,Kansas_City_city,2020.0,55469.0,29,Kansas City city
1600000US1304000,"Atlanta city, Georgia",496480,81,Georgia,Atlanta city,Atlanta_city,2020.0,19144.0,13,Atlanta city
1600000US3137000,"Omaha city, Nebraska",487299,34,Nebraska,Omaha city,Omaha_city,,,31,Omaha city
1600000US0816000,"Colorado Springs city, Colorado",483969,59,Colorado,Colorado Springs city,Colorado_Springs_city,2020.0,31785.0,8,Colorado Springs city
1600000US3755000,"Raleigh city, North Carolina",469502,1056,North Carolina,Raleigh city,Raleigh_city,,,37,Raleigh city
1600000US5182000,"Virginia Beach city, Virginia",457672,*****,Virginia,Virginia Beach city,Virginia_Beach_city,,,51,Virginia Beach city
1600000US0643000,"Long Beach city, California",456063,55,California,Long Beach city,Long_Beach_city,,,6,Long Beach city
1600000US1245000,"Miami city, Florida",439906,63,Florida,Miami city,Miami_city,2020.0,234.0,12,Miami city
1600000US0653000,"Oakland city, California",433797,106,California,Oakland city,Oakland_city,2020.0,14493.0,6,Oakland city
1600000US2743000,"Minneapolis city, Minnesota",425338,40,Minnesota,Minneapolis city,Minneapolis_city,2020.0,13026.0,27,Minneapolis city
1600000US4075000,"Tulsa city, Oklahoma",411905,1081,Oklahoma,Tulsa city,Tulsa_city,2020.0,32632.0,40,Tulsa city
1600000US0603526,"Bakersfield city, California",407581,120,California,Bakersfield city,Bakersfield_city,2020.0,22780.0,6,Bakersfield city
1600000US2079000,"Wichita city, Kansas",395707,51,Kansas,Wichita city,Wichita_city,2020.0,29030.0,20,Wichita city
1600000US4804000,"Arlington city, Texas",392802,70,Texas,Arlington city,Arlington_city,2020.0,676.0,48,Arlington city
1600000US0804000,"Aurora city, Colorado",389675,1418,Colorado,Aurora city,Aurora_city,2020.0,213.0,8,Aurora city
1600000US1271000,"Tampa city, Florida",387037,78,Florida,Tampa city,Tampa_city,2020.0,25870.0,12,Tampa city
1600000US2255000,"New Orleans city, Louisiana",376971,*****,Louisiana,New Orleans city,New_Orleans_city,,,22,New Orleans city
1600000US3916000,"Cleveland city, Ohio",368006,64,Ohio,Cleveland city,Cleveland_city,2020.0,1346.0,39,Cleveland city
1600000US0602000,"Anaheim city, California",345935,61,California,Anaheim city,Anaheim_city,2020.0,8708.0,6,Anaheim city
