CensusBlockGroup,State,County,y_tile,x_tile,lng_c,lat_c,img_name
060590761021,CA,Orange County,104902,45222,-117.89634704589844,33.78999052689876,104902_45222
060590761021,CA,Orange County,104901,45223,-117.8949737548828,33.79113183624187,104901_45223
060590761021,CA,Orange County,104901,45222,-117.89634704589844,33.79113183624187,104901_45222
060590761021,CA,Orange County,104901,45224,-117.8936004638672,33.79113183624187,104901_45224
060590761021,CA,Orange County,104900,45222,-117.89634704589844,33.79227313037089,104900_45222
060590761021,CA,Orange County,104900,45224,-117.8936004638672,33.79227313037089,104900_45224
060590761021,CA,Orange County,104900,45223,-117.8949737548828,33.79227313037089,104900_45223
060590761021,CA,Orange County,104901,45225,-117.89222717285156,33.79113183624187,104901_45225
060590761021,CA,Orange County,104900,45226,-117.89085388183594,33.79227313037089,104900_45226
060590761021,CA,Orange County,104900,45225,-117.89222717285156,33.79227313037089,104900_45225
060590761021,CA,Orange County,104899,45225,-117.89222717285156,33.793414409285575,104899_45225
060590761021,CA,Orange County,104899,45223,-117.8949737548828,33.793414409285575,104899_45223
060590761021,CA,Orange County,104899,45222,-117.89634704589844,33.793414409285575,104899_45222
060590761021,CA,Orange County,104899,45224,-117.8936004638672,33.793414409285575,104899_45224
060590761021,CA,Orange County,104898,45223,-117.8949737548828,33.794555672985695,104898_45223
060590761021,CA,Orange County,104898,45222,-117.89634704589844,33.794555672985695,104898_45222
060590761021,CA,Orange County,104898,45224,-117.8936004638672,33.794555672985695,104898_45224
060590761021,CA,Orange County,104897,45223,-117.8949737548828,33.79569692147098,104897_45223
060590761021,CA,Orange County,104897,45222,-117.89634704589844,33.79569692147098,104897_45222
060590884031,CA,Orange County,104902,45212,-117.91007995605467,33.78999052689876,104902_45212
060590884031,CA,Orange County,104902,45211,-117.91145324707033,33.78999052689876,104902_45211
060590884031,CA,Orange County,104901,45213,-117.90870666503906,33.79113183624187,104901_45213
060590884031,CA,Orange County,104901,45211,-117.91145324707033,33.79113183624187,104901_45211
060590884031,CA,Orange County,104901,45214,-117.90733337402344,33.79113183624187,104901_45214
060590884031,CA,Orange County,104901,45212,-117.91007995605467,33.79113183624187,104901_45212
060590884031,CA,Orange County,104900,45212,-117.91007995605467,33.79227313037089,104900_45212
