CensusBlockGroup,State,County,y_tile,x_tile,lng_c,lat_c,img_name
080350139121,CO,Douglas County,99653,54770,-104.78416442871094,39.56599985977618,99653_54770
080350139121,CO,Douglas County,99653,54771,-104.78279113769533,39.56599985977618,99653_54771
080350139121,CO,Douglas County,99658,54778,-104.77317810058594,39.56070636682708,99658_54778
080350139121,CO,Douglas County,99658,54777,-104.77455139160156,39.56070636682708,99658_54777
080350139121,CO,Douglas County,99658,54780,-104.77043151855467,39.56070636682708,99658_54780
080350139121,CO,Douglas County,99658,54779,-104.77180480957033,39.56070636682708,99658_54779
080350139121,CO,Douglas County,99657,54780,-104.77043151855467,39.5617650977415,99657_54780
080350139121,CO,Douglas County,99657,54777,-104.77455139160156,39.5617650977415,99657_54777
080350139121,CO,Douglas County,99657,54778,-104.77317810058594,39.5617650977415,99657_54778
080350139121,CO,Douglas County,99657,54779,-104.77180480957033,39.5617650977415,99657_54779
080350139121,CO,Douglas County,99656,54779,-104.77180480957033,39.56282381249373,99656_54779
080350139121,CO,Douglas County,99656,54777,-104.77455139160156,39.56282381249373,99656_54777
080350139121,CO,Douglas County,99656,54778,-104.77317810058594,39.56282381249373,99656_54778
080350139121,CO,Douglas County,99656,54780,-104.77043151855467,39.56282381249373,99656_54780
080350139121,CO,Douglas County,99655,54779,-104.77180480957033,39.56388251108368,99655_54779
080350139121,CO,Douglas County,99655,54780,-104.77043151855467,39.56388251108368,99655_54780
080350139121,CO,Douglas County,99655,54777,-104.77455139160156,39.56388251108368,99655_54777
080350139121,CO,Douglas County,99655,54778,-104.77317810058594,39.56388251108368,99655_54778
080350139121,CO,Douglas County,99655,54781,-104.76905822753906,39.56388251108368,99655_54781
080350139121,CO,Douglas County,99654,54781,-104.76905822753906,39.56494119351119,99654_54781
080350139121,CO,Douglas County,99654,54777,-104.77455139160156,39.56494119351119,99654_54777
080350139121,CO,Douglas County,99654,54780,-104.77043151855467,39.56494119351119,99654_54780
080350139121,CO,Douglas County,99654,54782,-104.76768493652344,39.56494119351119,99654_54782
080350139121,CO,Douglas County,99654,54778,-104.77317810058594,39.56494119351119,99654_54778
080350139121,CO,Douglas County,99654,54779,-104.77180480957033,39.56494119351119,99654_54779
080350139121,CO,Douglas County,99653,54774,-104.77867126464844,39.56599985977618,99653_54774
080350139121,CO,Douglas County,99653,54776,-104.7759246826172,39.56599985977618,99653_54776
080350139121,CO,Douglas County,99653,54782,-104.76768493652344,39.56599985977618,99653_54782
080350139121,CO,Douglas County,99653,54775,-104.7772979736328,39.56599985977618,99653_54775
080350139121,CO,Douglas County,99653,54773,-104.78004455566406,39.56599985977618,99653_54773
080350139121,CO,Douglas County,99653,54778,-104.77317810058594,39.56599985977618,99653_54778
080350139121,CO,Douglas County,99653,54772,-104.78141784667967,39.56599985977618,99653_54772
080350139121,CO,Douglas County,99653,54781,-104.76905822753906,39.56599985977618,99653_54781
080350139121,CO,Douglas County,99653,54777,-104.77455139160156,39.56599985977618,99653_54777
080350139121,CO,Douglas County,99653,54780,-104.77043151855467,39.56599985977618,99653_54780
080350139121,CO,Douglas County,99653,54779,-104.77180480957033,39.56599985977618,99653_54779
080350139121,CO,Douglas County,99653,54783,-104.7663116455078,39.56599985977618,99653_54783
080050071082,CO,Arapahoe County,99528,54826,-104.70726013183594,39.69820582499884,99528_54826
080050071082,CO,Arapahoe County,99527,54826,-104.70726013183594,39.69926245387555,99527_54826
080050071082,CO,Arapahoe County,99526,54826,-104.70726013183594,39.70031906657535,99526_54826
080050071082,CO,Arapahoe County,99525,54826,-104.70726013183594,39.70137566309813,99525_54826
080050071082,CO,Arapahoe County,99524,54826,-104.70726013183594,39.7024322434438,99524_54826
080050071082,CO,Arapahoe County,99534,54822,-104.71275329589844,39.69186571202988,99534_54822
080050071082,CO,Arapahoe County,99534,54823,-104.7113800048828,39.69186571202988,99534_54823
080050071082,CO,Arapahoe County,99533,54822,-104.71275329589844,39.69292243796566,99533_54822
080050071082,CO,Arapahoe County,99533,54824,-104.7100067138672,39.69292243796566,99533_54824
080050071082,CO,Arapahoe County,99532,54824,-104.7100067138672,39.693979147725216,99532_54824
080050071082,CO,Arapahoe County,99531,54824,-104.7100067138672,39.69503584130841,99531_54824
080050071082,CO,Arapahoe County,99530,54826,-104.70726013183594,39.69609251871516,99530_54826
080050071082,CO,Arapahoe County,99530,54825,-104.70863342285156,39.69609251871516,99530_54825
080050071082,CO,Arapahoe County,99529,54825,-104.70863342285156,39.69714917994534,99529_54825
080050071082,CO,Arapahoe County,99529,54826,-104.70726013183594,39.69714917994534,99529_54826
080050071082,CO,Arapahoe County,99529,54824,-104.7100067138672,39.69714917994534,99529_54824
080050071082,CO,Arapahoe County,99528,54824,-104.7100067138672,39.69820582499884,99528_54824
080050071082,CO,Arapahoe County,99528,54825,-104.70863342285156,39.69820582499884,99528_54825
080050071082,CO,Arapahoe County,99533,54823,-104.7113800048828,39.69292243796566,99533_54823
080050071082,CO,Arapahoe County,99532,54822,-104.71275329589844,39.693979147725216,99532_54822
080050071082,CO,Arapahoe County,99532,54823,-104.7113800048828,39.693979147725216,99532_54823
080050071082,CO,Arapahoe County,99531,54823,-104.7113800048828,39.69503584130841,99531_54823
080050071082,CO,Arapahoe County,99531,54821,-104.71412658691406,39.69503584130841,99531_54821
080050071082,CO,Arapahoe County,99531,54822,-104.71275329589844,39.69503584130841,99531_54822
080050071082,CO,Arapahoe County,99530,54824,-104.7100067138672,39.69609251871516,99530_54824
080050071082,CO,Arapahoe County,99530,54823,-104.7113800048828,39.69609251871516,99530_54823
080050071082,CO,Arapahoe County,99530,54822,-104.71275329589844,39.69609251871516,99530_54822
080050071082,CO,Arapahoe County,99526,54821,-104.71412658691406,39.70031906657535,99526_54821
080050071082,CO,Arapahoe County,99527,54824,-104.7100067138672,39.69926245387555,99527_54824
080050071082,CO,Arapahoe County,99527,54825,-104.70863342285156,39.69926245387555,99527_54825
080050071082,CO,Arapahoe County,99526,54825,-104.70863342285156,39.70031906657535,99526_54825
080050071082,CO,Arapahoe County,99526,54824,-104.7100067138672,39.70031906657535,99526_54824
080050071082,CO,Arapahoe County,99525,54825,-104.70863342285156,39.70137566309813,99525_54825
080050071082,CO,Arapahoe County,99524,54824,-104.7100067138672,39.7024322434438,99524_54824
080050071082,CO,Arapahoe County,99524,54825,-104.70863342285156,39.7024322434438,99524_54825
080050071082,CO,Arapahoe County,99523,54824,-104.7100067138672,39.70348880761222,99523_54824
080050071082,CO,Arapahoe County,99523,54825,-104.70863342285156,39.70348880761222,99523_54825
080050071082,CO,Arapahoe County,99523,54826,-104.70726013183594,39.70348880761222,99523_54826
080050071082,CO,Arapahoe County,99522,54825,-104.70863342285156,39.70454535560329,99522_54825
080050071082,CO,Arapahoe County,99522,54826,-104.70726013183594,39.70454535560329,99522_54826
080050071082,CO,Arapahoe County,99522,54824,-104.7100067138672,39.70454535560329,99522_54824
080050071082,CO,Arapahoe County,99521,54826,-104.70726013183594,39.7056018874169,99521_54826
080050071082,CO,Arapahoe County,99521,54825,-104.70863342285156,39.7056018874169,99521_54825
080050071082,CO,Arapahoe County,99521,54824,-104.7100067138672,39.7056018874169,99521_54824
080050071082,CO,Arapahoe County,99520,54826,-104.70726013183594,39.70665840305294,99520_54826
080050071082,CO,Arapahoe County,99525,54824,-104.7100067138672,39.70137566309813,99525_54824
080050071082,CO,Arapahoe County,99521,54821,-104.71412658691406,39.7056018874169,99521_54821
080050071082,CO,Arapahoe County,99520,54821,-104.71412658691406,39.70665840305294,99520_54821
080050071082,CO,Arapahoe County,99534,54821,-104.71412658691406,39.69186571202988,99534_54821
080050071082,CO,Arapahoe County,99533,54821,-104.71412658691406,39.69292243796566,99533_54821
080050071082,CO,Arapahoe County,99533,54820,-104.71549987792967,39.69292243796566,99533_54820
080050071082,CO,Arapahoe County,99532,54821,-104.71412658691406,39.693979147725216,99532_54821
080050071082,CO,Arapahoe County,99532,54820,-104.71549987792967,39.693979147725216,99532_54820
080050071082,CO,Arapahoe County,99531,54820,-104.71549987792967,39.69503584130841,99531_54820
080050071082,CO,Arapahoe County,99530,54820,-104.71549987792967,39.69609251871516,99530_54820
080050071082,CO,Arapahoe County,99527,54816,-104.7209930419922,39.69926245387555,99527_54816
080050071082,CO,Arapahoe County,99523,54817,-104.71961975097656,39.70348880761222,99523_54817
080050071082,CO,Arapahoe County,99522,54817,-104.71961975097656,39.70454535560329,99522_54817
080050071082,CO,Arapahoe County,99521,54816,-104.7209930419922,39.7056018874169,99521_54816
080050071082,CO,Arapahoe County,99521,54817,-104.71961975097656,39.7056018874169,99521_54817
080050071082,CO,Arapahoe County,99521,54818,-104.71824645996094,39.7056018874169,99521_54818
080050071082,CO,Arapahoe County,99520,54818,-104.71824645996094,39.70665840305294,99520_54818
080050071082,CO,Arapahoe County,99531,54816,-104.7209930419922,39.69503584130841,99531_54816
080050071082,CO,Arapahoe County,99530,54816,-104.7209930419922,39.69609251871516,99530_54816
080050071082,CO,Arapahoe County,99530,54815,-104.7223663330078,39.69609251871516,99530_54815
080050071082,CO,Arapahoe County,99529,54816,-104.7209930419922,39.69714917994534,99529_54816
080050071082,CO,Arapahoe County,99529,54815,-104.7223663330078,39.69714917994534,99529_54815
080050071082,CO,Arapahoe County,99530,54821,-104.71412658691406,39.69609251871516,99530_54821
080050071082,CO,Arapahoe County,99529,54820,-104.71549987792967,39.69714917994534,99529_54820
080050071082,CO,Arapahoe County,99528,54820,-104.71549987792967,39.69820582499884,99528_54820
080050071082,CO,Arapahoe County,99527,54820,-104.71549987792967,39.69926245387555,99527_54820
080050071082,CO,Arapahoe County,99526,54820,-104.71549987792967,39.70031906657535,99526_54820
080050071082,CO,Arapahoe County,99525,54820,-104.71549987792967,39.70137566309813,99525_54820
080050071082,CO,Arapahoe County,99525,54821,-104.71412658691406,39.70137566309813,99525_54821
080050071082,CO,Arapahoe County,99524,54820,-104.71549987792967,39.7024322434438,99524_54820
080050071082,CO,Arapahoe County,99524,54821,-104.71412658691406,39.7024322434438,99524_54821
080050071082,CO,Arapahoe County,99523,54820,-104.71549987792967,39.70348880761222,99523_54820
080050071082,CO,Arapahoe County,99528,54815,-104.7223663330078,39.69820582499884,99528_54815
080050071082,CO,Arapahoe County,99528,54816,-104.7209930419922,39.69820582499884,99528_54816
080050071082,CO,Arapahoe County,99527,54815,-104.7223663330078,39.69926245387555,99527_54815
080050071082,CO,Arapahoe County,99526,54815,-104.7223663330078,39.70031906657535,99526_54815
080050071082,CO,Arapahoe County,99526,54816,-104.7209930419922,39.70031906657535,99526_54816
080050071082,CO,Arapahoe County,99525,54815,-104.7223663330078,39.70137566309813,99525_54815
080050071082,CO,Arapahoe County,99525,54816,-104.7209930419922,39.70137566309813,99525_54816
080050071082,CO,Arapahoe County,99524,54816,-104.7209930419922,39.7024322434438,99524_54816
080050071082,CO,Arapahoe County,99524,54815,-104.7223663330078,39.7024322434438,99524_54815
080050071082,CO,Arapahoe County,99523,54816,-104.7209930419922,39.70348880761222,99523_54816
080050071082,CO,Arapahoe County,99523,54815,-104.7223663330078,39.70348880761222,99523_54815
080050071082,CO,Arapahoe County,99522,54816,-104.7209930419922,39.70454535560329,99522_54816
080050071082,CO,Arapahoe County,99522,54814,-104.72373962402344,39.70454535560329,99522_54814
080050071082,CO,Arapahoe County,99522,54815,-104.7223663330078,39.70454535560329,99522_54815
080050071082,CO,Arapahoe County,99521,54814,-104.72373962402344,39.7056018874169,99521_54814
080050071082,CO,Arapahoe County,99521,54815,-104.7223663330078,39.7056018874169,99521_54815
080050071082,CO,Arapahoe County,99520,54816,-104.7209930419922,39.70665840305294,99520_54816
080050071082,CO,Arapahoe County,99520,54815,-104.7223663330078,39.70665840305294,99520_54815
080050071082,CO,Arapahoe County,99520,54814,-104.72373962402344,39.70665840305294,99520_54814
080050071082,CO,Arapahoe County,99519,54816,-104.7209930419922,39.70771490251129,99519_54816
080050071082,CO,Arapahoe County,99523,54821,-104.71412658691406,39.70348880761222,99523_54821
080050071082,CO,Arapahoe County,99522,54821,-104.71412658691406,39.70454535560329,99522_54821
080050071082,CO,Arapahoe County,99522,54820,-104.71549987792967,39.70454535560329,99522_54820
080050071082,CO,Arapahoe County,99521,54820,-104.71549987792967,39.7056018874169,99521_54820
080050071082,CO,Arapahoe County,99520,54819,-104.71687316894533,39.70665840305294,99520_54819
080050071082,CO,Arapahoe County,99520,54820,-104.71549987792967,39.70665840305294,99520_54820
080050071082,CO,Arapahoe County,99519,54819,-104.71687316894533,39.70771490251129,99519_54819
080050071082,CO,Arapahoe County,99519,54815,-104.7223663330078,39.70771490251129,99519_54815
080050071082,CO,Arapahoe County,99518,54815,-104.7223663330078,39.70877138579185,99518_54815
080050071082,CO,Arapahoe County,99518,54816,-104.7209930419922,39.70877138579185,99518_54816
080050071082,CO,Arapahoe County,99517,54815,-104.7223663330078,39.7098278528945,99517_54815
080050071082,CO,Arapahoe County,99516,54815,-104.7223663330078,39.71088430381913,99516_54815
080050071082,CO,Arapahoe County,99520,54817,-104.71961975097656,39.70665840305294,99520_54817
080050071082,CO,Arapahoe County,99519,54818,-104.71824645996094,39.70771490251129,99519_54818
080050071082,CO,Arapahoe County,99519,54817,-104.71961975097656,39.70771490251129,99519_54817
080050071082,CO,Arapahoe County,99518,54817,-104.71961975097656,39.70877138579185,99518_54817
080050071082,CO,Arapahoe County,99502,54788,-104.75944519042967,39.72567291800964,99502_54788
080050071082,CO,Arapahoe County,99500,54788,-104.75944519042967,39.72778531831182,99500_54788
080050071082,CO,Arapahoe County,99503,54791,-104.7553253173828,39.72461669358896,99503_54791
080050071082,CO,Arapahoe County,99502,54791,-104.7553253173828,39.72567291800964,99502_54791
080050071082,CO,Arapahoe County,99502,54789,-104.75807189941406,39.72567291800964,99502_54789
080050071082,CO,Arapahoe County,99502,54790,-104.75669860839844,39.72567291800964,99502_54790
080050071082,CO,Arapahoe County,99501,54790,-104.75669860839844,39.72672912625062,99501_54790
080050071082,CO,Arapahoe County,99501,54788,-104.75944519042967,39.72672912625062,99501_54788
080050071082,CO,Arapahoe County,99528,54814,-104.72373962402344,39.69820582499884,99528_54814
080050071082,CO,Arapahoe County,99527,54814,-104.72373962402344,39.69926245387555,99527_54814
080050071082,CO,Arapahoe County,99527,54813,-104.72511291503906,39.69926245387555,99527_54813
080050071082,CO,Arapahoe County,99526,54813,-104.72511291503906,39.70031906657535,99526_54813
080050071082,CO,Arapahoe County,99526,54814,-104.72373962402344,39.70031906657535,99526_54814
080050071082,CO,Arapahoe County,99521,54810,-104.72923278808594,39.7056018874169,99521_54810
080050071082,CO,Arapahoe County,99520,54809,-104.73060607910156,39.70665840305294,99520_54809
080050071082,CO,Arapahoe County,99520,54810,-104.72923278808594,39.70665840305294,99520_54810
080050071082,CO,Arapahoe County,99519,54809,-104.73060607910156,39.70771490251129,99519_54809
080050071082,CO,Arapahoe County,99526,54812,-104.72648620605467,39.70031906657535,99526_54812
080050071082,CO,Arapahoe County,99525,54812,-104.72648620605467,39.70137566309813,99525_54812
080050071082,CO,Arapahoe County,99524,54811,-104.72785949707033,39.7024322434438,99524_54811
080050071082,CO,Arapahoe County,99525,54814,-104.72373962402344,39.70137566309813,99525_54814
080050071082,CO,Arapahoe County,99525,54813,-104.72511291503906,39.70137566309813,99525_54813
080050071082,CO,Arapahoe County,99524,54813,-104.72511291503906,39.7024322434438,99524_54813
080050071082,CO,Arapahoe County,99524,54814,-104.72373962402344,39.7024322434438,99524_54814
080050071082,CO,Arapahoe County,99523,54814,-104.72373962402344,39.70348880761222,99523_54814
080050071082,CO,Arapahoe County,99523,54813,-104.72511291503906,39.70348880761222,99523_54813
080050071082,CO,Arapahoe County,99522,54813,-104.72511291503906,39.70454535560329,99522_54813
080050071082,CO,Arapahoe County,99521,54813,-104.72511291503906,39.7056018874169,99521_54813
080050071082,CO,Arapahoe County,99519,54814,-104.72373962402344,39.70771490251129,99519_54814
080050071082,CO,Arapahoe County,99518,54814,-104.72373962402344,39.70877138579185,99518_54814
080050071082,CO,Arapahoe County,99523,54811,-104.72785949707033,39.70348880761222,99523_54811
080050071082,CO,Arapahoe County,99522,54810,-104.72923278808594,39.70454535560329,99522_54810
080050071082,CO,Arapahoe County,99519,54810,-104.72923278808594,39.70771490251129,99519_54810
080050071082,CO,Arapahoe County,99518,54810,-104.72923278808594,39.70877138579185,99518_54810
080050071082,CO,Arapahoe County,99517,54810,-104.72923278808594,39.7098278528945,99517_54810
080050071082,CO,Arapahoe County,99516,54810,-104.72923278808594,39.71088430381913,99516_54810
080050071082,CO,Arapahoe County,99515,54810,-104.72923278808594,39.71194073856563,99515_54810
080050071082,CO,Arapahoe County,99518,54808,-104.7319793701172,39.70877138579185,99518_54808
080050071082,CO,Arapahoe County,99518,54809,-104.73060607910156,39.70877138579185,99518_54809
080050071082,CO,Arapahoe County,99517,54809,-104.73060607910156,39.7098278528945,99517_54809
080050071082,CO,Arapahoe County,99517,54808,-104.7319793701172,39.7098278528945,99517_54808
080050071082,CO,Arapahoe County,99516,54809,-104.73060607910156,39.71088430381913,99516_54809
080050071082,CO,Arapahoe County,99516,54808,-104.7319793701172,39.71088430381913,99516_54808
080050071082,CO,Arapahoe County,99515,54809,-104.73060607910156,39.71194073856563,99515_54809
080050071082,CO,Arapahoe County,99514,54809,-104.73060607910156,39.7129971571339,99514_54809
080050071082,CO,Arapahoe County,99514,54810,-104.72923278808594,39.7129971571339,99514_54810
080050071082,CO,Arapahoe County,99513,54809,-104.73060607910156,39.714053559523805,99513_54809
080050071082,CO,Arapahoe County,99517,54814,-104.72373962402344,39.7098278528945,99517_54814
080050071082,CO,Arapahoe County,99516,54814,-104.72373962402344,39.71088430381913,99516_54814
080050071082,CO,Arapahoe County,99515,54814,-104.72373962402344,39.71194073856563,99515_54814
080050071082,CO,Arapahoe County,99517,54807,-104.7333526611328,39.7098278528945,99517_54807
080050071082,CO,Arapahoe County,99516,54807,-104.7333526611328,39.71088430381913,99516_54807
080050071082,CO,Arapahoe County,99515,54806,-104.73472595214844,39.71194073856563,99515_54806
080050071082,CO,Arapahoe County,99514,54806,-104.73472595214844,39.7129971571339,99514_54806
080050071082,CO,Arapahoe County,99514,54805,-104.73609924316406,39.7129971571339,99514_54805
080050071082,CO,Arapahoe County,99513,54806,-104.73472595214844,39.714053559523805,99513_54806
080050071082,CO,Arapahoe County,99512,54806,-104.73472595214844,39.71510994573524,99512_54806
