CensusBlockGroup,State,County,y_tile,x_tile,lng_c,lat_c,img_name
060290032101,CA,Kern County,103596,44378,-119.05540466308594,35.26748631123281,103596_44378
060290032101,CA,Kern County,103596,44383,-119.0485382080078,35.26748631123281,103596_44383
060290032101,CA,Kern County,103596,44382,-119.04991149902344,35.26748631123281,103596_44382
060290032101,CA,Kern County,103596,44381,-119.05128479003906,35.26748631123281,103596_44381
060290032101,CA,Kern County,103596,44380,-119.05265808105467,35.26748631123281,103596_44380
060290032101,CA,Kern County,103596,44379,-119.05403137207033,35.26748631123281,103596_44379
060290032181,CA,Kern County,103583,44373,-119.06227111816406,35.28206117930318,103583_44373
060290032181,CA,Kern County,103583,44372,-119.06364440917967,35.28206117930318,103583_44372
060290032181,CA,Kern County,103583,44371,-119.06501770019533,35.28206117930318,103583_44371
060290032181,CA,Kern County,103582,44372,-119.06364440917967,35.28318221436711,103582_44372
060290032181,CA,Kern County,103582,44373,-119.06227111816406,35.28318221436711,103582_44373
060290032181,CA,Kern County,103581,44371,-119.06501770019533,35.284303233910855,103581_44371
060290032181,CA,Kern County,103581,44372,-119.06364440917967,35.284303233910855,103581_44372
060290032181,CA,Kern County,103581,44373,-119.06227111816406,35.284303233910855,103581_44373
060290032181,CA,Kern County,103580,44373,-119.06227111816406,35.2854242379342,103580_44373
060290032181,CA,Kern County,103580,44372,-119.06364440917967,35.2854242379342,103580_44372
060290032181,CA,Kern County,103579,44373,-119.06227111816406,35.28654522643694,103579_44373
060290032181,CA,Kern County,103579,44372,-119.06364440917967,35.28654522643694,103579_44372
060290032181,CA,Kern County,103578,44373,-119.06227111816406,35.287666199418844,103578_44373
060290032181,CA,Kern County,103578,44372,-119.06364440917967,35.287666199418844,103578_44372
060290032181,CA,Kern County,103582,44371,-119.06501770019533,35.28318221436711,103582_44371
060290032181,CA,Kern County,103580,44371,-119.06501770019533,35.2854242379342,103580_44371
060290032181,CA,Kern County,103579,44371,-119.06501770019533,35.28654522643694,103579_44371
060290032181,CA,Kern County,103578,44371,-119.06501770019533,35.287666199418844,103578_44371
