CensusBlockGroup,State,County,y_tile,x_tile,lng_c,lat_c,img_name
160010007013,ID,Ada County,95713,46473,-116.17835998535156,43.61072530249336,95713_46473
160010007013,ID,Ada County,95713,46474,-116.17698669433594,43.61072530249336,95713_46474
160010007013,ID,Ada County,95712,46469,-116.18385314941406,43.61171961568802,95712_46469
160010007013,ID,Ada County,95712,46467,-116.18659973144533,43.61171961568802,95712_46467
160010007013,ID,Ada County,95712,46466,-116.18797302246094,43.61171961568802,95712_46466
160010007013,ID,Ada County,95712,46468,-116.18522644042967,43.61171961568802,95712_46468
160010007013,ID,Ada County,95711,46468,-116.18522644042967,43.61271391244416,95711_46468
160010007013,ID,Ada County,95711,46466,-116.18797302246094,43.61271391244416,95711_46466
160010007013,ID,Ada County,95711,46467,-116.18659973144533,43.61271391244416,95711_46467
160010007013,ID,Ada County,95711,46469,-116.18385314941406,43.61271391244416,95711_46469
160010007013,ID,Ada County,95710,46467,-116.18659973144533,43.61370819276178,95710_46467
160010007013,ID,Ada County,95711,46470,-116.18247985839844,43.61271391244416,95711_46470
160010007013,ID,Ada County,95710,46470,-116.18247985839844,43.61370819276178,95710_46470
160010007013,ID,Ada County,95710,46471,-116.1811065673828,43.61370819276178,95710_46471
160010007013,ID,Ada County,95710,46469,-116.18385314941406,43.61370819276178,95710_46469
160010007013,ID,Ada County,95710,46475,-116.17561340332033,43.61370819276178,95710_46475
160010007013,ID,Ada County,95710,46474,-116.17698669433594,43.61370819276178,95710_46474
160010007013,ID,Ada County,95709,46474,-116.17698669433594,43.61470245664082,95709_46474
160010007013,ID,Ada County,95710,46466,-116.18797302246094,43.61370819276178,95710_46466
160010007013,ID,Ada County,95710,46468,-116.18522644042967,43.61370819276178,95710_46468
160010007013,ID,Ada County,95709,46469,-116.18385314941406,43.61470245664082,95709_46469
160010007013,ID,Ada County,95712,46477,-116.17286682128906,43.61171961568802,95712_46477
160010007013,ID,Ada County,95712,46476,-116.17424011230467,43.61171961568802,95712_46476
160010007013,ID,Ada County,95712,46475,-116.17561340332033,43.61171961568802,95712_46475
160010007013,ID,Ada County,95711,46478,-116.17149353027344,43.61271391244416,95711_46478
160010007013,ID,Ada County,95711,46479,-116.1701202392578,43.61271391244416,95711_46479
160010007013,ID,Ada County,95712,46473,-116.17835998535156,43.61171961568802,95712_46473
160010007013,ID,Ada County,95712,46470,-116.18247985839844,43.61171961568802,95712_46470
160010007013,ID,Ada County,95712,46474,-116.17698669433594,43.61171961568802,95712_46474
160010007013,ID,Ada County,95712,46472,-116.1797332763672,43.61171961568802,95712_46472
160010007013,ID,Ada County,95712,46471,-116.1811065673828,43.61171961568802,95712_46471
160010007013,ID,Ada County,95711,46475,-116.17561340332033,43.61271391244416,95711_46475
160010007013,ID,Ada County,95711,46472,-116.1797332763672,43.61271391244416,95711_46472
160010007013,ID,Ada County,95711,46471,-116.1811065673828,43.61271391244416,95711_46471
160010007013,ID,Ada County,95711,46473,-116.17835998535156,43.61271391244416,95711_46473
160010007013,ID,Ada County,95711,46474,-116.17698669433594,43.61271391244416,95711_46474
160010007013,ID,Ada County,95711,46476,-116.17424011230467,43.61271391244416,95711_46476
160010007013,ID,Ada County,95711,46477,-116.17286682128906,43.61271391244416,95711_46477
160010007013,ID,Ada County,95710,46476,-116.17424011230467,43.61370819276178,95710_46476
160010007013,ID,Ada County,95710,46477,-116.17286682128906,43.61370819276178,95710_46477
160010007013,ID,Ada County,95710,46478,-116.17149353027344,43.61370819276178,95710_46478
160010007013,ID,Ada County,95709,46477,-116.17286682128906,43.61470245664082,95709_46477
160010007013,ID,Ada County,95709,46476,-116.17424011230467,43.61470245664082,95709_46476
160010007013,ID,Ada County,95709,46478,-116.17149353027344,43.61470245664082,95709_46478
160010007013,ID,Ada County,95708,46476,-116.17424011230467,43.61569670408129,95708_46476
160010007013,ID,Ada County,95708,46477,-116.17286682128906,43.61569670408129,95708_46477
160010007013,ID,Ada County,95709,46473,-116.17835998535156,43.61470245664082,95709_46473
160010007013,ID,Ada County,95709,46470,-116.18247985839844,43.61470245664082,95709_46470
160010007013,ID,Ada County,95709,46475,-116.17561340332033,43.61470245664082,95709_46475
160010007013,ID,Ada County,95714,46476,-116.17424011230467,43.60973097286022,95714_46476
160010007013,ID,Ada County,95714,46475,-116.17561340332033,43.60973097286022,95714_46475
160010007013,ID,Ada County,95713,46476,-116.17424011230467,43.61072530249336,95713_46476
160010007013,ID,Ada County,95713,46475,-116.17561340332033,43.61072530249336,95713_46475
160010015002,ID,Ada County,95727,46433,-116.23329162597656,43.59680319174044,95727_46433
160010020001,ID,Ada County,95720,46414,-116.25938415527344,43.60376464985488,95720_46414
160010020001,ID,Ada County,95720,46413,-116.26075744628906,43.60376464985488,95720_46413
160010020001,ID,Ada County,95720,46418,-116.25389099121094,43.60376464985488,95720_46418
160010020001,ID,Ada County,95720,46417,-116.25526428222656,43.60376464985488,95720_46417
160010020001,ID,Ada County,95719,46417,-116.25526428222656,43.60475907811832,95719_46417
160010020001,ID,Ada County,95719,46420,-116.25114440917967,43.60475907811832,95719_46420
160010020001,ID,Ada County,95719,46419,-116.25251770019533,43.60475907811832,95719_46419
160010020001,ID,Ada County,95719,46418,-116.25389099121094,43.60475907811832,95719_46418
160010020001,ID,Ada County,95718,46417,-116.25526428222656,43.60575348994344,95718_46417
160010020001,ID,Ada County,95720,46415,-116.2580108642578,43.60376464985488,95720_46415
160010020001,ID,Ada County,95720,46416,-116.2566375732422,43.60376464985488,95720_46416
160010020001,ID,Ada County,95719,46415,-116.2580108642578,43.60475907811832,95719_46415
160010020001,ID,Ada County,95719,46416,-116.2566375732422,43.60475907811832,95719_46416
160010020001,ID,Ada County,95719,46414,-116.25938415527344,43.60475907811832,95719_46414
160010020001,ID,Ada County,95718,46415,-116.2580108642578,43.60575348994344,95718_46415
160010020001,ID,Ada County,95718,46416,-116.2566375732422,43.60575348994344,95718_46416
160010020001,ID,Ada County,95717,46416,-116.2566375732422,43.606747885330215,95717_46416
160010020001,ID,Ada County,95717,46415,-116.2580108642578,43.606747885330215,95717_46415
160010020001,ID,Ada County,95716,46417,-116.25526428222656,43.60774226427863,95716_46417
160010020001,ID,Ada County,95719,46413,-116.26075744628906,43.60475907811832,95719_46413
160010020001,ID,Ada County,95718,46413,-116.26075744628906,43.60575348994344,95718_46413
160010020001,ID,Ada County,95718,46414,-116.25938415527344,43.60575348994344,95718_46414
160010020001,ID,Ada County,95717,46414,-116.25938415527344,43.606747885330215,95717_46414
160010020001,ID,Ada County,95717,46413,-116.26075744628906,43.606747885330215,95717_46413
160010020001,ID,Ada County,95716,46413,-116.26075744628906,43.60774226427863,95716_46413
160010020001,ID,Ada County,95718,46419,-116.25251770019533,43.60575348994344,95718_46419
160010020001,ID,Ada County,95718,46420,-116.25114440917967,43.60575348994344,95718_46420
160010020001,ID,Ada County,95718,46418,-116.25389099121094,43.60575348994344,95718_46418
160010020001,ID,Ada County,95717,46419,-116.25251770019533,43.606747885330215,95717_46419
160010020001,ID,Ada County,95717,46417,-116.25526428222656,43.606747885330215,95717_46417
160010020001,ID,Ada County,95717,46418,-116.25389099121094,43.606747885330215,95717_46418
160010020001,ID,Ada County,95717,46420,-116.25114440917967,43.606747885330215,95717_46420
160010020001,ID,Ada County,95716,46418,-116.25389099121094,43.60774226427863,95716_46418
160010020001,ID,Ada County,95716,46420,-116.25114440917967,43.60774226427863,95716_46420
160010020001,ID,Ada County,95716,46419,-116.25251770019533,43.60774226427863,95716_46419
160010020001,ID,Ada County,95716,46416,-116.2566375732422,43.60774226427863,95716_46416
160010020001,ID,Ada County,95716,46415,-116.2580108642578,43.60774226427863,95716_46415
160010020001,ID,Ada County,95715,46415,-116.2580108642578,43.60873662678864,95715_46415
160010020001,ID,Ada County,95715,46416,-116.2566375732422,43.60873662678864,95715_46416
160010020001,ID,Ada County,95714,46417,-116.25526428222656,43.60973097286022,95714_46417
160010020001,ID,Ada County,95714,46415,-116.2580108642578,43.60973097286022,95714_46415
160010020001,ID,Ada County,95714,46416,-116.2566375732422,43.60973097286022,95714_46416
160010020001,ID,Ada County,95713,46417,-116.25526428222656,43.61072530249336,95713_46417
160010020001,ID,Ada County,95713,46416,-116.2566375732422,43.61072530249336,95713_46416
160010020001,ID,Ada County,95713,46415,-116.2580108642578,43.61072530249336,95713_46415
160010020001,ID,Ada County,95716,46414,-116.25938415527344,43.60774226427863,95716_46414
160010020001,ID,Ada County,95715,46413,-116.26075744628906,43.60873662678864,95715_46413
160010020001,ID,Ada County,95715,46414,-116.25938415527344,43.60873662678864,95715_46414
160010020001,ID,Ada County,95714,46413,-116.26075744628906,43.60973097286022,95714_46413
160010020001,ID,Ada County,95714,46414,-116.25938415527344,43.60973097286022,95714_46414
160010020001,ID,Ada County,95713,46413,-116.26075744628906,43.61072530249336,95713_46413
160010020001,ID,Ada County,95713,46414,-116.25938415527344,43.61072530249336,95713_46414
160010020001,ID,Ada County,95719,46424,-116.2456512451172,43.60475907811832,95719_46424
160010020001,ID,Ada County,95719,46425,-116.24427795410156,43.60475907811832,95719_46425
160010020001,ID,Ada County,95718,46425,-116.24427795410156,43.60575348994344,95718_46425
160010020001,ID,Ada County,95718,46424,-116.2456512451172,43.60575348994344,95718_46424
160010020001,ID,Ada County,95719,46422,-116.24839782714844,43.60475907811832,95719_46422
160010020001,ID,Ada County,95719,46421,-116.24977111816406,43.60475907811832,95719_46421
160010020001,ID,Ada County,95719,46423,-116.2470245361328,43.60475907811832,95719_46423
160010020001,ID,Ada County,95718,46421,-116.24977111816406,43.60575348994344,95718_46421
160010020001,ID,Ada County,95718,46422,-116.24839782714844,43.60575348994344,95718_46422
160010020001,ID,Ada County,95718,46423,-116.2470245361328,43.60575348994344,95718_46423
160010020001,ID,Ada County,95717,46425,-116.24427795410156,43.606747885330215,95717_46425
160010020001,ID,Ada County,95716,46424,-116.2456512451172,43.60774226427863,95716_46424
160010020001,ID,Ada County,95716,46425,-116.24427795410156,43.60774226427863,95716_46425
160010020001,ID,Ada County,95717,46424,-116.2456512451172,43.606747885330215,95717_46424
160010020001,ID,Ada County,95717,46421,-116.24977111816406,43.606747885330215,95717_46421
160010020001,ID,Ada County,95717,46423,-116.2470245361328,43.606747885330215,95717_46423
160010020001,ID,Ada County,95717,46422,-116.24839782714844,43.606747885330215,95717_46422
160010020001,ID,Ada County,95716,46421,-116.24977111816406,43.60774226427863,95716_46421
160010020001,ID,Ada County,95716,46423,-116.2470245361328,43.60774226427863,95716_46423
160010020001,ID,Ada County,95716,46422,-116.24839782714844,43.60774226427863,95716_46422
160010020001,ID,Ada County,95715,46421,-116.24977111816406,43.60873662678864,95715_46421
160010020001,ID,Ada County,95715,46424,-116.2456512451172,43.60873662678864,95715_46424
160010020001,ID,Ada County,95715,46422,-116.24839782714844,43.60873662678864,95715_46422
160010020001,ID,Ada County,95715,46425,-116.24427795410156,43.60873662678864,95715_46425
160010020001,ID,Ada County,95714,46424,-116.2456512451172,43.60973097286022,95714_46424
160010020001,ID,Ada County,95714,46425,-116.24427795410156,43.60973097286022,95714_46425
160010020001,ID,Ada County,95713,46425,-116.24427795410156,43.61072530249336,95713_46425
160010020001,ID,Ada County,95715,46423,-116.2470245361328,43.60873662678864,95715_46423
160010020001,ID,Ada County,95714,46423,-116.2470245361328,43.60973097286022,95714_46423
160010020001,ID,Ada County,95714,46422,-116.24839782714844,43.60973097286022,95714_46422
160010020001,ID,Ada County,95714,46421,-116.24977111816406,43.60973097286022,95714_46421
160010020001,ID,Ada County,95713,46424,-116.2456512451172,43.61072530249336,95713_46424
160010020001,ID,Ada County,95713,46421,-116.24977111816406,43.61072530249336,95713_46421
160010020001,ID,Ada County,95713,46422,-116.24839782714844,43.61072530249336,95713_46422
160010020001,ID,Ada County,95713,46423,-116.2470245361328,43.61072530249336,95713_46423
160010020001,ID,Ada County,95712,46423,-116.2470245361328,43.61171961568802,95712_46423
160010020001,ID,Ada County,95712,46422,-116.24839782714844,43.61171961568802,95712_46422
160010020001,ID,Ada County,95712,46425,-116.24427795410156,43.61171961568802,95712_46425
160010020001,ID,Ada County,95712,46424,-116.2456512451172,43.61171961568802,95712_46424
160010020001,ID,Ada County,95711,46424,-116.2456512451172,43.61271391244416,95711_46424
160010020001,ID,Ada County,95711,46425,-116.24427795410156,43.61271391244416,95711_46425
160010020001,ID,Ada County,95715,46417,-116.25526428222656,43.60873662678864,95715_46417
160010020001,ID,Ada County,95715,46419,-116.25251770019533,43.60873662678864,95715_46419
160010020001,ID,Ada County,95715,46418,-116.25389099121094,43.60873662678864,95715_46418
160010020001,ID,Ada County,95715,46420,-116.25114440917967,43.60873662678864,95715_46420
160010020001,ID,Ada County,95714,46418,-116.25389099121094,43.60973097286022,95714_46418
160010020001,ID,Ada County,95714,46419,-116.25251770019533,43.60973097286022,95714_46419
160010020001,ID,Ada County,95714,46420,-116.25114440917967,43.60973097286022,95714_46420
160010020001,ID,Ada County,95713,46418,-116.25389099121094,43.61072530249336,95713_46418
160010020001,ID,Ada County,95713,46419,-116.25251770019533,43.61072530249336,95713_46419
160010020001,ID,Ada County,95713,46420,-116.25114440917967,43.61072530249336,95713_46420
160010020001,ID,Ada County,95712,46414,-116.25938415527344,43.61171961568802,95712_46414
160010020001,ID,Ada County,95712,46413,-116.26075744628906,43.61171961568802,95712_46413
160010020001,ID,Ada County,95711,46414,-116.25938415527344,43.61271391244416,95711_46414
160010020001,ID,Ada County,95711,46413,-116.26075744628906,43.61271391244416,95711_46413
160010020001,ID,Ada County,95710,46414,-116.25938415527344,43.61370819276178,95710_46414
160010020001,ID,Ada County,95710,46413,-116.26075744628906,43.61370819276178,95710_46413
160010020001,ID,Ada County,95712,46417,-116.25526428222656,43.61171961568802,95712_46417
160010020001,ID,Ada County,95712,46416,-116.2566375732422,43.61171961568802,95712_46416
160010020001,ID,Ada County,95712,46415,-116.2580108642578,43.61171961568802,95712_46415
160010020001,ID,Ada County,95711,46416,-116.2566375732422,43.61271391244416,95711_46416
160010020001,ID,Ada County,95711,46415,-116.2580108642578,43.61271391244416,95711_46415
160010020001,ID,Ada County,95711,46417,-116.25526428222656,43.61271391244416,95711_46417
160010020001,ID,Ada County,95710,46416,-116.2566375732422,43.61370819276178,95710_46416
160010020001,ID,Ada County,95710,46415,-116.2580108642578,43.61370819276178,95710_46415
160010020001,ID,Ada County,95710,46417,-116.25526428222656,43.61370819276178,95710_46417
160010020001,ID,Ada County,95709,46415,-116.2580108642578,43.61470245664082,95709_46415
160010020001,ID,Ada County,95709,46414,-116.25938415527344,43.61470245664082,95709_46414
160010020001,ID,Ada County,95709,46416,-116.2566375732422,43.61470245664082,95709_46416
160010020001,ID,Ada County,95709,46417,-116.25526428222656,43.61470245664082,95709_46417
160010020001,ID,Ada County,95708,46416,-116.2566375732422,43.61569670408129,95708_46416
160010020001,ID,Ada County,95708,46417,-116.25526428222656,43.61569670408129,95708_46417
160010020001,ID,Ada County,95712,46419,-116.25251770019533,43.61171961568802,95712_46419
160010020001,ID,Ada County,95712,46420,-116.25114440917967,43.61171961568802,95712_46420
160010020001,ID,Ada County,95712,46418,-116.25389099121094,43.61171961568802,95712_46418
160010020001,ID,Ada County,95711,46420,-116.25114440917967,43.61271391244416,95711_46420
160010020001,ID,Ada County,95711,46418,-116.25389099121094,43.61271391244416,95711_46418
160010020001,ID,Ada County,95711,46419,-116.25251770019533,43.61271391244416,95711_46419
160010020001,ID,Ada County,95710,46421,-116.24977111816406,43.61370819276178,95710_46421
160010020001,ID,Ada County,95710,46420,-116.25114440917967,43.61370819276178,95710_46420
160010020001,ID,Ada County,95710,46419,-116.25251770019533,43.61370819276178,95710_46419
160010020001,ID,Ada County,95710,46418,-116.25389099121094,43.61370819276178,95710_46418
160010020001,ID,Ada County,95712,46421,-116.24977111816406,43.61171961568802,95712_46421
160010020001,ID,Ada County,95711,46422,-116.24839782714844,43.61271391244416,95711_46422
160010020001,ID,Ada County,95711,46423,-116.2470245361328,43.61271391244416,95711_46423
160010020001,ID,Ada County,95711,46421,-116.24977111816406,43.61271391244416,95711_46421
160010020001,ID,Ada County,95710,46423,-116.2470245361328,43.61370819276178,95710_46423
