y_tile,x_tile
99092,70636
99092,70637
99092,70638
99092,70639
99092,70640
99092,70641
99092,70642
99092,70643
99093,70636
99093,70637
99093,70638
99093,70639
99093,70640
99093,70641
99093,70642
99093,70643
99093,70650
99093,70651
99093,70652
99093,70653
99093,70654
99094,70636
99094,70637
99094,70638
99094,70639
99094,70640
99094,70641
99094,70642
99094,70643
99094,70644
99094,70650
99094,70651
99094,70652
99094,70653
99094,70654
99094,70655
99095,70635
99095,70636
99095,70637
99095,70638
99095,70639
99095,70640
99095,70641
99095,70642
99095,70643
99095,70644
99095,70645
99095,70646
99095,70647
99095,70648
99095,70649
99095,70650
99095,70651
99095,70652
99095,70653
99095,70654
99095,70655
99096,70635
99096,70636
99096,70637
99096,70638
99096,70639
99096,70640
99096,70641
99096,70642
99096,70643
99096,70644
99096,70645
99096,70646
99096,70647
99096,70648
99096,70649
99096,70650
99096,70651
99096,70652
99096,70653
99096,70654
99096,70655
99097,70628
99097,70629
99097,70630
99097,70631
99097,70632
99097,70633
99097,70634
99097,70635
99097,70636
99097,70637
99097,70638
99097,70639
99097,70640
99097,70641
99097,70642
99097,70643
99097,70644
99097,70645
99097,70646
99097,70647
99097,70648
99097,70649
99097,70650
99097,70651
99097,70652
99097,70653
99097,70654
99097,70655
99097,70662
99097,70663
99098,70628
99098,70629
99098,70630
99098,70631
99098,70632
99098,70633
99098,70634
99098,70635
99098,70636
99098,70637
99098,70638
99098,70639
99098,70640
99098,70641
99098,70642
99098,70643
99098,70644
99098,70645
99098,70646
99098,70647
99098,70648
99098,70649
99098,70650
99098,70651
99098,70652
99098,70653
99098,70654
99098,70655
99098,70656
99098,70657
99098,70658
99098,70659
99098,70660
99098,70661
99098,70662
99098,70663
99098,70664
99098,70665
99099,70625
99099,70626
99099,70627
99099,70628
99099,70629
99099,70630
99099,70631
99099,70632
99099,70633
99099,70634
99099,70635
99099,70636
99099,70637
99099,70638
99099,70639
99099,70640
99099,70641
99099,70642
99099,70643
99099,70644
99099,70645
99099,70646
99099,70647
99099,70648
99099,70649
99099,70650
99099,70651
99099,70652
99099,70653
99099,70654
99099,70655
99099,70656
99099,70657
99099,70658
99099,70659
99099,70660
99099,70661
99099,70662
99099,70663
99099,70664
99099,70665
99100,70625
99100,70626
99100,70627
99100,70628
99100,70629
99100,70630
99100,70631
99100,70632
99100,70633
99100,70634
99100,70635
99100,70636
99100,70637
99100,70638
99100,70639
99100,70640
99100,70641
99100,70642
99100,70643
99100,70644
99100,70645
99100,70646
99100,70647
99100,70648
99100,70649
99100,70650
99100,70651
99100,70652
99100,70653
99100,70654
99100,70655
99100,70656
99100,70657
99100,70658
99100,70659
99100,70660
99100,70661
99100,70662
99100,70663
99100,70664
99100,70665
99101,70625
99101,70626
99101,70627
99101,70628
99101,70629
99101,70630
99101,70631
99101,70632
99101,70633
99101,70634
99101,70635
99101,70636
99101,70637
99101,70638
99101,70639
99101,70640
99101,70641
99101,70642
99101,70643
99101,70644
99101,70645
99101,70646
99101,70647
99101,70648
99101,70649
99101,70650
99101,70651
99101,70652
99101,70653
99101,70654
99101,70655
99101,70656
99101,70657
99101,70658
99101,70659
99101,70660
99101,70661
99101,70662
99101,70663
99101,70664
99101,70665
99102,70625
99102,70626
99102,70627
99102,70628
99102,70629
99102,70630
99102,70631
99102,70632
99102,70633
99102,70634
99102,70635
99102,70636
99102,70637
99102,70638
99102,70639
99102,70640
99102,70641
99102,70642
99102,70643
99102,70644
99102,70645
99102,70646
99102,70647
99102,70648
99102,70649
99102,70650
99102,70651
99102,70652
99102,70653
99102,70654
99102,70655
99102,70656
99102,70657
99102,70658
99102,70659
99102,70660
99102,70661
99102,70662
99102,70663
99102,70664
99103,70620
99103,70621
99103,70622
99103,70623
99103,70624
99103,70625
99103,70626
99103,70627
99103,70628
99103,70629
99103,70630
99103,70631
99103,70632
99103,70633
99103,70634
99103,70635
99103,70636
99103,70637
99103,70638
99103,70639
99103,70640
99103,70641
99103,70642
99103,70643
99103,70644
99103,70645
99103,70646
99103,70647
99103,70648
99103,70649
99103,70650
99103,70651
99103,70652
99103,70653
99103,70654
99103,70655
99103,70656
99103,70657
99103,70658
99103,70659
99103,70660
99103,70661
99103,70662
99103,70663
99104,70620
99104,70621
99104,70622
99104,70623
99104,70624
99104,70625
99104,70626
99104,70627
99104,70628
99104,70629
99104,70630
99104,70631
99104,70632
99104,70633
99104,70634
99104,70635
99104,70636
99104,70637
99104,70638
99104,70639
99104,70640
99104,70641
99104,70642
99104,70643
99104,70644
99104,70645
99104,70646
99104,70647
99104,70648
99104,70649
99104,70650
99104,70651
99104,70652
99104,70653
99104,70654
99104,70655
99104,70656
99104,70657
99104,70658
99104,70659
99104,70660
99104,70661
99104,70662
99104,70663
99105,70620
99105,70621
99105,70622
99105,70623
99105,70624
99105,70625
99105,70626
99105,70627
99105,70628
99105,70633
99105,70634
99105,70635
99105,70636
99105,70637
99105,70638
99105,70639
99105,70640
99105,70641
99105,70642
99105,70643
99105,70644
99105,70645
99105,70646
99105,70647
99105,70648
99105,70649
99105,70650
99105,70651
99105,70652
99105,70653
99105,70654
99105,70655
99105,70656
99105,70657
99105,70658
99105,70659
99105,70660
99105,70661
99105,70662
99106,70620
99106,70621
99106,70622
99106,70623
99106,70624
99106,70625
99106,70626
99106,70627
99106,70628
99106,70629
99106,70630
99106,70631
99106,70632
99106,70633
99106,70634
99106,70635
99106,70636
99106,70637
99106,70638
99106,70639
99106,70640
99106,70641
99106,70642
99106,70643
99106,70644
99106,70645
99106,70646
99106,70647
99106,70648
99106,70649
99106,70650
99106,70651
99106,70652
99106,70653
99106,70654
99106,70655
99106,70656
99106,70657
99106,70658
99106,70659
99106,70660
99106,70661
99107,70620
99107,70621
99107,70622
99107,70623
99107,70624
99107,70625
99107,70626
99107,70627
99107,70628
99107,70629
99107,70630
99107,70631
99107,70632
99107,70633
99107,70634
99107,70635
99107,70636
99107,70637
99107,70638
99107,70639
99107,70640
99107,70641
99107,70642
99107,70643
99107,70644
99107,70645
99107,70646
99107,70647
99107,70648
99107,70649
99107,70650
99107,70651
99107,70652
99107,70653
99107,70654
99107,70655
99107,70656
99107,70657
99107,70658
99107,70659
99107,70660
99108,70620
99108,70621
99108,70622
99108,70623
99108,70624
99108,70625
99108,70626
99108,70627
99108,70628
99108,70629
99108,70630
99108,70631
99108,70632
99108,70633
99108,70634
99108,70635
99108,70636
99108,70637
99108,70638
99108,70639
99108,70640
99108,70641
99108,70642
99108,70643
99108,70644
99108,70645
99108,70646
99108,70647
99108,70648
99108,70649
99108,70650
99108,70651
99108,70652
99108,70653
99108,70654
99108,70655
99108,70656
99108,70657
99108,70658
99108,70659
99109,70567
99109,70568
99109,70569
99109,70570
99109,70571
99109,70572
99109,70620
99109,70621
99109,70622
99109,70623
99109,70624
99109,70625
99109,70626
99109,70627
99109,70628
99109,70629
99109,70630
99109,70631
99109,70632
99109,70633
99109,70634
99109,70635
99109,70636
99109,70637
99109,70638
99109,70639
99109,70640
99109,70641
99109,70642
99109,70643
99109,70644
99109,70645
99109,70646
99109,70647
99109,70648
99109,70649
99109,70650
99109,70651
99109,70652
99109,70653
99109,70654
99109,70655
99109,70656
99109,70657
99109,70658
99110,70567
99110,70568
99110,70569
99110,70570
99110,70571
99110,70572
99110,70573
99110,70574
99110,70575
99110,70576
99110,70577
99110,70578
99110,70579
99110,70580
99110,70581
99110,70582
99110,70583
99110,70584
99110,70585
99110,70586
99110,70591
99110,70592
99110,70593
99110,70594
99110,70623
99110,70624
99110,70625
99110,70626
99110,70627
99110,70628
99110,70629
99110,70630
99110,70631
99110,70632
99110,70633
99110,70634
99110,70635
99110,70636
99110,70637
99110,70638
99110,70639
99110,70640
99110,70641
99110,70642
99110,70643
99110,70644
99110,70645
99110,70646
99110,70647
99110,70648
99110,70649
99110,70650
99110,70651
99110,70652
99110,70653
99110,70654
99110,70655
99110,70656
99110,70657
99110,70658
99111,70567
99111,70568
99111,70569
99111,70570
99111,70571
99111,70572
99111,70573
99111,70574
99111,70575
99111,70576
99111,70577
99111,70578
99111,70579
99111,70580
99111,70581
99111,70582
99111,70583
99111,70584
99111,70585
99111,70586
99111,70587
99111,70591
99111,70592
99111,70593
99111,70594
99111,70595
99111,70596
99111,70597
99111,70598
