y_tile,x_tile
96869,70656
96869,70657
96869,70658
96869,70659
96869,70660
96869,70661
96869,70662
96869,70663
96869,70664
96869,70665
96869,70666
96869,70667
96869,70668
96869,70669
96869,70670
96869,70671
96869,70672
96869,70673
96869,70674
96869,70675
96869,70676
96870,70629
96870,70630
96870,70631
96870,70632
96870,70633
96870,70634
96870,70635
96870,70636
96870,70637
96870,70638
96870,70639
96870,70640
96870,70641
96870,70642
96870,70643
96870,70644
96870,70645
96870,70646
96870,70647
96870,70648
96870,70649
96870,70650
96870,70651
96870,70652
96870,70653
96870,70654
96870,70655
96870,70656
96870,70657
96870,70658
96870,70659
96870,70660
96870,70661
96870,70662
96870,70663
96870,70664
96870,70665
96870,70666
96870,70667
96870,70668
96870,70669
96870,70670
96870,70671
96870,70672
96870,70673
96870,70674
96870,70675
96871,70601
96871,70602
96871,70603
96871,70604
96871,70605
96871,70606
96871,70607
96871,70608
96871,70609
96871,70610
96871,70611
96871,70612
96871,70613
96871,70614
96871,70615
96871,70616
96871,70617
96871,70618
96871,70619
96871,70620
96871,70621
96871,70622
96871,70623
96871,70624
96871,70625
96871,70626
96871,70627
96871,70628
96871,70629
96871,70630
96871,70631
96871,70632
96871,70633
96871,70634
96871,70635
96871,70636
96871,70637
96871,70638
96871,70639
96871,70640
96871,70641
96871,70642
96871,70643
96871,70644
96871,70645
96871,70646
96871,70647
96871,70648
96871,70649
96871,70650
96871,70651
96871,70652
96871,70653
96871,70654
96871,70655
96871,70656
96871,70657
96871,70658
96871,70659
96871,70660
96871,70661
96871,70662
96871,70663
96871,70664
96871,70665
96871,70666
96871,70667
96871,70668
96871,70669
96871,70670
96871,70671
96871,70672
96871,70673
96871,70674
96871,70675
96872,70549
96872,70550
96872,70551
96872,70552
96872,70553
96872,70554
96872,70555
96872,70556
96872,70557
96872,70558
96872,70559
96872,70560
96872,70561
96872,70562
96872,70563
96872,70564
96872,70565
96872,70566
96872,70567
96872,70568
96872,70569
96872,70570
96872,70571
96872,70572
96872,70573
96872,70574
96872,70575
96872,70576
96872,70577
96872,70578
96872,70579
96872,70580
96872,70581
96872,70582
96872,70583
96872,70584
96872,70585
96872,70586
96872,70587
96872,70588
96872,70589
96872,70590
96872,70591
96872,70592
96872,70593
96872,70594
96872,70595
96872,70596
96872,70597
96872,70598
96872,70599
96872,70600
96872,70601
96872,70602
96872,70603
96872,70604
96872,70605
96872,70606
96872,70607
96872,70608
96872,70609
96872,70610
96872,70611
96872,70612
96872,70613
96872,70614
96872,70615
96872,70616
96872,70617
96872,70618
96872,70619
96872,70620
96872,70621
96872,70622
96872,70623
96872,70624
96872,70625
96872,70626
96872,70627
96872,70628
96872,70629
96872,70630
96872,70631
96872,70632
96872,70633
96872,70634
96872,70635
96872,70636
96872,70637
96872,70638
96872,70639
96872,70640
96872,70641
96872,70642
96872,70643
96872,70644
96872,70645
96872,70646
96872,70647
96872,70648
96872,70649
96872,70650
96872,70651
96872,70652
96872,70653
96872,70654
96872,70655
96872,70656
96872,70657
96872,70658
96872,70659
96872,70660
96872,70661
96872,70662
96872,70663
96872,70664
96872,70665
96872,70666
96872,70667
96872,70668
96872,70669
96872,70670
96872,70671
96872,70672
96872,70673
96872,70674
96873,70514
96873,70515
96873,70516
96873,70517
96873,70518
96873,70519
96873,70520
96873,70521
96873,70522
96873,70523
96873,70524
96873,70525
96873,70526
96873,70527
96873,70528
96873,70529
96873,70530
96873,70531
96873,70532
96873,70533
96873,70534
96873,70535
96873,70536
96873,70537
96873,70538
96873,70539
96873,70540
96873,70541
96873,70542
96873,70543
96873,70544
96873,70545
96873,70546
96873,70547
96873,70548
96873,70549
96873,70550
96873,70551
96873,70552
96873,70553
96873,70554
96873,70555
