City Name,Year,Median Household Income,Population Above Poverty,Population Below Poverty,Population With A Ratio Of Income To Poverty Level Below 0.5,Population With A Ratio Of Income To Poverty Level Between 0.5 And 0.99
Albuquerque city,2014,47413,469435.0,107450.0,47749.0,59701.0
Albuquerque city,2015,47030,466757.0,111234.0,47953.0,63281.0
Albuquerque city,2016,48127,469990.0,109761.0,46291.0,63470.0
Albuquerque city,2017,49878,474142.0,105187.0,45601.0,59586.0
Albuquerque city,2018,51128,477479.0,102150.0,45031.0,57119.0
Albuquerque city,2019,52911,481959.0,97220.0,43115.0,54105.0
Albuquerque city,2020,53936,483875.0,91939.0,44056.0,47883.0
Anaheim city,2014,59707,318116.0,64838.0,28311.0,36527.0
Anaheim city,2015,60752,321560.0,63483.0,27189.0,36294.0
Anaheim city,2016,61826,323049.0,62600.0,25904.0,36696.0
Anaheim city,2017,65313,326837.0,62120.0,25499.0,36621.0
Anaheim city,2018,69443,331651.0,59230.0,24028.0,35202.0
Anaheim city,2019,71763,333087.0,57139.0,22656.0,34483.0
Anaheim city,2020,76723,326991.0,51284.0,20374.0,30910.0
Anaheim city,2021,81806,232786.0,33600.0,14448.0,19152.0
Arlington CDP,2014,105120,200425.0,19869.0,9660.0,10209.0
Arlington CDP,2015,105763,203121.0,20893.0,10137.0,10756.0
Arlington CDP,2016,108706,205695.0,20507.0,10132.0,10375.0
Arlington CDP,2017,112138,210259.0,19542.0,9972.0,9570.0
Arlington CDP,2018,117374,214021.0,17441.0,8398.0,9043.0
Arlington CDP,2019,120071,216429.0,16601.0,8537.0,8064.0
Arlington CDP,2020,122604,218230.0,14952.0,7996.0,6956.0
Arlington CDP,2021,128145,159521.0,10563.0,5276.0,5287.0
Arlington city,2014,53055,324632.0,66282.0,24543.0,40197.0
Arlington city,2015,53326,326535.0,69295.0,26155.0,41398.0
Arlington city,2016,53574,333265.0,66220.0,25513.0,40707.0
Arlington city,2017,55562,338427.0,64070.0,24677.0,39393.0
Arlington city,2018,58502,346277.0,63492.0,24932.0,38560.0
Arlington city,2019,60571,353073.0,59351.0,23959.0,35392.0
Arlington city,2020,63351,354459.0,59245.0,24021.0,35224.0
Arlington city,2021,65481,211114.0,31042.0,13863.0,17179.0
Atlanta city,2014,46439,324721.0,107656.0,56791.0,50865.0
Atlanta city,2015,47527,334337.0,106447.0,56526.0,49921.0
Atlanta city,2016,49398,341592.0,105264.0,55883.0,49381.0
Atlanta city,2017,51701,354301.0,100422.0,51809.0,48613.0
Atlanta city,2018,55279,362866.0,98017.0,48275.0,49742.0
Atlanta city,2019,59948,373036.0,96305.0,47973.0,48332.0
Atlanta city,2020,64179,388023.0,91426.0,45592.0,45834.0
Atlanta city,2021,69164,139897.0,35369.0,16249.0,19120.0
Aurora city,2014,52275,293169.0,55124.0,22583.0,32541.0
Aurora city,2015,53011,301701.0,52862.0,21796.0,31066.0
Aurora city,2016,55303,308606.0,51320.0,19916.0,31404.0
Aurora city,2017,58343,316386.0,48871.0,19043.0,29828.0
Aurora city,2018,62541,327321.0,43716.0,17196.0,26520.0
Aurora city,2019,65100,336948.0,39926.0,15755.0,24171.0
Aurora city,2020,67723,351662.0,40298.0,16277.0,24021.0
Aurora city,2021,72052,290429.0,33264.0,14736.0,18528.0
Austin city,2014,55216,763282.0,172289.0,82467.0,89822.0
Austin city,2015,57689,792945.0,166489.0,80142.0,86347.0
Austin city,2016,60939,823473.0,158105.0,77269.0,80836.0
Austin city,2017,63717,854960.0,148833.0,72269.0,76564.0
Austin city,2018,67462,881512.0,143320.0,69692.0,73628.0
Austin city,2019,71576,908105.0,134003.0,67110.0,66893.0
Austin city,2020,75752,914994.0,126349.0,64545.0,61804.0
Austin city,2021,78965,287352.0,39289.0,18446.0,20843.0
Bakersfield city,2014,56842,349493.0,90424.0,36476.0,53948.0
Bakersfield city,2015,57095,355330.0,90909.0,38362.0,52547.0
Bakersfield city,2016,58669,359047.0,92312.0,38730.0,53582.0
Bakersfield city,2017,60058,366032.0,91014.0,40950.0,50064.0
Bakersfield city,2018,62340,369685.0,88720.0,40767.0,47953.0
Bakersfield city,2019,63139,376272.0,84568.0,39253.0,45315.0
Bakersfield city,2020,65687,358248.0,81145.0,36332.0,44813.0
Bakersfield city,2021,69014,121763.0,26893.0,12683.0,14210.0
Baltimore city,2014,41819,453511.0,144849.0,71972.0,72877.0
Baltimore city,2015,42241,456985.0,141654.0,71925.0,69729.0
Baltimore city,2016,44262,459789.0,137964.0,68665.0,69299.0
Baltimore city,2017,46641,462797.0,133793.0,67567.0,66226.0
Baltimore city,2018,48840,463113.0,128829.0,65122.0,63707.0
Baltimore city,2019,50379,462385.0,124436.0,62999.0,61437.0
Baltimore city,2020,52164,464053.0,116258.0,59344.0,56914.0
Baltimore city,2021,54124,398071.0,94899.0,48547.0,46352.0
Boise City city,2014,49209,180215.0,32601.0,15099.0,17502.0
Boise City city,2015,50323,183639.0,31032.0,13800.0,17232.0
Boise City city,2016,52249,185447.0,30578.0,14081.0,16497.0
Boise City city,2017,54547,187435.0,30379.0,13561.0,16818.0
Boise City city,2018,56798,191353.0,29544.0,13261.0,16283.0
Boise City city,2019,60035,191151.0,30606.0,13388.0,17218.0
Boise City city,2020,63778,203027.0,27357.0,13190.0,14167.0
Boise City city,2021,68373,48582.0,5576.0,2657.0,2919.0
Boston city,2014,54485,466701.0,131241.0,69282.0,61959.0
Boston city,2015,55777,476547.0,130775.0,68771.0,62004.0
Boston city,2016,58516,485023.0,129846.0,68559.0,61287.0
Boston city,2017,62021,497512.0,128618.0,66666.0,61952.0
Boston city,2018,65883,507901.0,128415.0,65113.0,63302.0
Boston city,2019,71115,520290.0,121364.0,61590.0,59774.0
Boston city,2020,76298,530327.0,116102.0,58639.0,57463.0
Boston city,2021,81744,394785.0,71915.0,36769.0,35146.0
