City Name,Year,Civilian Noninstitutionalized Population,Population With No Health Insurance Under 18,Population With No Health Insurance Between 18 To 34,Population With No Health Insurance Between 35 To 64,Population With No Health Insurance Over 65 Years Old
Albuquerque city,2014,578157.0,9389.0,41375.0,38228.0,866.0
Albuquerque city,2015,579182.0,7731.0,37653.0,35850.0,822.0
Albuquerque city,2016,580959.0,6991.0,32607.0,31694.0,627.0
Albuquerque city,2017,580515.0,6690.0,26351.0,28094.0,600.0
Albuquerque city,2018,581026.0,5646.0,21865.0,24367.0,751.0
Albuquerque city,2019,580600.0,5091.0,19075.0,21477.0,755.0
Albuquerque city,2020,577209.0,5816.0,17476.0,20857.0,635.0
Anaheim city,2014,384889.0,8674.0,33824.0,36464.0,1113.0
Anaheim city,2015,387433.0,6927.0,30752.0,34451.0,1086.0
Anaheim city,2016,387700.0,5612.0,27062.0,32022.0,1133.0
Anaheim city,2017,391076.0,5862.0,21363.0,27723.0,1051.0
Anaheim city,2018,392896.0,4901.0,18315.0,24932.0,785.0
Anaheim city,2019,392288.0,3998.0,16562.0,23700.0,734.0
Anaheim city,2020,380183.0,3576.0,14280.0,22302.0,740.0
Anaheim city,2021,267239.0,2722.0,9966.0,16713.0,661.0
Arlington CDP,2014,219036.0,2308.0,11397.0,10732.0,339.0
Arlington CDP,2015,223143.0,2196.0,10178.0,9767.0,354.0
Arlington CDP,2016,225271.0,1687.0,9240.0,9053.0,465.0
Arlington CDP,2017,228423.0,1821.0,8233.0,8442.0,400.0
Arlington CDP,2018,230050.0,1604.0,6814.0,7089.0,406.0
Arlington CDP,2019,231643.0,1373.0,5637.0,7197.0,457.0
Arlington CDP,2020,231447.0,1246.0,5215.0,6904.0,613.0
Arlington CDP,2021,169119.0,1048.0,3377.0,5093.0,243.0
Arlington city,2014,393809.0,15019.0,39583.0,35733.0,592.0
Arlington city,2015,399251.0,13083.0,37543.0,35684.0,816.0
Arlington city,2016,403219.0,11454.0,35466.0,34039.0,1036.0
Arlington city,2017,406405.0,12023.0,30838.0,33226.0,1067.0
Arlington city,2018,413626.0,12083.0,29525.0,32451.0,1131.0
Arlington city,2019,416155.0,12433.0,29682.0,32409.0,1254.0
Arlington city,2020,417861.0,13440.0,31442.0,33803.0,926.0
Arlington city,2021,245036.0,8656.0,16757.0,19382.0,579.0
Atlanta city,2014,458247.0,6015.0,37142.0,37006.0,386.0
Atlanta city,2015,466707.0,5561.0,34819.0,32269.0,329.0
