City Name,Year,Population Enrolled In College,Population That Graduated From High School,Population With A Bachelor's Degree,Population With A Master's Degree,Population With A Doctorate
Albuquerque city,2014,45993,75592,70538,38215,8810
Albuquerque city,2015,44422,75965,70909,39405,9385
Albuquerque city,2016,42124,75837,72142,39999,9365
Albuquerque city,2017,39753,75684,73810,41068,9199
Albuquerque city,2018,38383,75373,75279,41174,9803
Albuquerque city,2019,37159,74808,77115,41899,9769
Albuquerque city,2020,35707,74421,80741,43087,9544
Anaheim city,2014,26559,52141,43765,12110,1899
Anaheim city,2015,27188,52816,44418,12060,2093
Anaheim city,2016,27771,53190,44853,12135,1857
Anaheim city,2017,29086,53215,46336,12427,1960
Anaheim city,2018,29301,54272,47708,12614,1910
Anaheim city,2019,28788,54617,47414,13609,2051
Anaheim city,2020,28418,53590,47476,14363,2196
Anaheim city,2021,18311,37626,31402,10318,1565
Arlington CDP,2014,8786,13036,57054,41678,6484
Arlington CDP,2015,8205,12825,58465,43357,7153
Arlington CDP,2016,8136,12700,59032,44537,7452
Arlington CDP,2017,7469,12455,59998,45592,7953
Arlington CDP,2018,7241,12539,60527,46439,8131
Arlington CDP,2019,6978,11856,61094,47046,8417
Arlington CDP,2020,7412,11502,61669,48000,8136
Arlington CDP,2021,4969,8603,41500,33724,6038
Arlington city,2014,29385,46392,47412,16166,2716
Arlington city,2015,29320,46935,49426,16720,2752
Arlington city,2016,29041,48941,50881,17948,3066
Arlington city,2017,28518,49583,51333,18675,2870
Arlington city,2018,28476,50989,51775,19571,2953
Arlington city,2019,28916,52347,54408,19592,3078
Arlington city,2020,28594,52542,53290,21086,3003
Arlington city,2021,16032,31964,34457,13398,1660
Atlanta city,2014,50537,52283,84839,39825,6699
Atlanta city,2015,50894,51931,86769,42918,6919
Atlanta city,2016,49506,51977,87458,45306,7219
Atlanta city,2017,47684,53965,89843,46970,7472
Atlanta city,2018,47380,55240,92944,49703,7532
Atlanta city,2019,46628,55125,99333,52110,8617
Atlanta city,2020,45502,56940,106384,55729,9185
Atlanta city,2021,8695,22129,32941,18802,3059
Aurora city,2014,19024,47424,42970,14405,2004
Aurora city,2015,18772,47698,44811,15370,2177
Aurora city,2016,17358,51010,45395,16152,2140
Aurora city,2017,16523,53540,47062,17142,2257
Aurora city,2018,15722,54773,49279,18168,2252
Aurora city,2019,15893,56181,50570,19627,2414
Aurora city,2020,16931,57703,52755,21726,2560
Aurora city,2021,13354,44642,43244,17230,2455
Austin city,2014,83959,85533,181404,72755,15052
Austin city,2015,82693,90234,192401,77400,15499
Austin city,2016,80698,93410,202291,81763,15295
Austin city,2017,77314,97129,212660,87352,16126
Austin city,2018,75121,98847,223881,93887,17722
Austin city,2019,73490,98339,236400,99358,18322
Austin city,2020,69276,92855,244138,106467,18303
Austin city,2021,15505,26328,86288,36100,7006
Bakersfield city,2014,27763,56320,33333,11457,1857
Bakersfield city,2015,27226,59482,34056,11790,2053
Bakersfield city,2016,28766,59893,35226,12282,2135
Bakersfield city,2017,28992,62450,36262,12874,2231
Bakersfield city,2018,28045,63984,36958,13712,2131
Bakersfield city,2019,28071,64325,37868,13883,2029
